AF3_delta,AF4_delta,F3_delta,F4_delta,F7_delta,F8_delta,FC5_delta,FC6_delta,T7_delta,T8_delta,P7_delta,P8_delta,O1_delta,O2_delta,AF3_theta,AF4_theta,F3_theta,F4_theta,F7_theta,F8_theta,FC5_theta,FC6_theta,T7_theta,T8_theta,P7_theta,P8_theta,O1_theta,O2_theta,AF3_alpha,AF4_alpha,F3_alpha,F4_alpha,F7_alpha,F8_alpha,FC5_alpha,FC6_alpha,T7_alpha,T8_alpha,P7_alpha,P8_alpha,O1_alpha,O2_alpha,AF3_beta,AF4_beta,F3_beta,F4_beta,F7_beta,F8_beta,FC5_beta,FC6_beta,T7_beta,T8_beta,P7_beta,P8_beta,O1_beta,O2_beta,AF3_gamma,AF4_gamma,F3_gamma,F4_gamma,F7_gamma,F8_gamma,FC5_gamma,FC6_gamma,T7_gamma,T8_gamma,P7_gamma,P8_gamma,O1_gamma,O2_gamma
-0.9774076575570734,-0.9007746700432882,-1.0181622782146045,-0.3536789635995802,-1.0163170726213144,-1.0291246916853478,-0.958912402652655,-0.8970808045967578,-1.0275412642550077,-0.4384299828671359,-0.9543279121287285,-0.5302605457705133,-0.9344890867133271,-1.0069010678926535,-0.6328312384564474,-0.7580266523409935,-0.6691024890387967,-0.6654325496646798,-0.7628556053880624,-0.5121699521385726,-0.7004631790441311,-0.5948554557848242,-0.6550443222672475,-0.5599750080943178,-0.5103284947600062,-0.7219482849502229,-0.5447228496713379,-0.671216604217226,-0.015792856944034733,0.013543090355569392,-0.021465186429098372,0.07044067253536336,-0.5096441730198438,-0.47149189029926414,-0.22605123979772476,0.2738856029952702,-0.3515436438046713,0.8637541100244156,1.2612455947845267,1.163670562147998,1.1505688201146285,0.6269025712636817,-0.34335322237946597,-0.02744908429869503,-0.380228242252252,-0.001653131258106305,-0.6460225932422811,-0.6146103947502132,-0.2545662732414533,-0.38503916691652323,-0.4559118718704976,-0.44348002908530754,1.0300747796227816,-0.7786311074912,0.9616411274656553,-0.28958197413162334,-0.34555496180068335,-0.18445794486974534,1.0671556625747052,-0.004058105560951099,-0.8329798631670393,-0.7302605159285672,-0.5168328130093611,-0.5971399754856723,-0.4194947989142954,-0.2160037753408024,0.9903427019572298,-1.2936879084964423,1.1298697923238297,0.04554198850008744
-0.2918703821806238,-0.674923123421617,-0.5186175586495739,0.656050598439605,-0.6125654574811195,-0.5078284448816753,-0.6096503926547616,-0.40375398817520614,-0.7054707408158672,-0.5862217487274105,-0.5950388028005261,-0.6879690715611099,-0.5416891856147111,-0.5760307924898939,-0.3398540880751127,-0.5806472864136226,-0.6668140773302468,1.9576223311087824,-0.6032743116129755,-0.6672989350788882,-0.6852701933232972,-0.7329714109517125,-0.7194432226767488,-0.5254192148938706,-0.49426425453972267,-0.685087945575335,-0.5209794223097943,-0.5647525546788315,0.8373644566045851,1.5313050543477227,0.3355169449143903,3.5441843017140355,-0.09475805894906858,-0.3830187114187467,-0.6829117356271889,-0.4607778236411844,0.1317364625440265,0.00841225128646205,0.5015193346907473,0.7651249141138192,0.29593994661010276,1.0939753479831076,0.20057053698162863,-0.4195755118244175,-0.09962882227220927,1.431403907274474,-0.5394237681766195,-0.21240308135183245,-0.768497563382255,-0.8662557566308181,-1.0208439999639147,-0.7784977348106854,-1.027938108298309,-0.3743862379026687,-0.6408100096298919,-0.21707029739681694,0.5857075050518552,-1.2719250081862084,0.0469535218484853,1.0861162357038523,-0.31107719679419804,-0.9689166854875269,-0.5491941848477971,-0.49101699749851124,-0.10516773866587541,-0.5603109770023221,0.7611312270942149,-0.9388950920554928,0.5748837970583897,0.025181897784568582
-0.8955102623010234,-0.7726123868198609,-1.0082864542557843,-0.7745058761929458,-0.937525925917691,-0.9715843912217622,-0.9144028471053974,-0.8954743556966731,-0.9028936896202501,-0.6726537948375924,-0.8490035838963026,-0.6426723607675326,-0.8681800323747105,-0.8517825590597453,-0.6430823086035231,-0.3178555966511371,-0.7541673952945362,-0.4385865131608271,-0.46743615329214117,-0.5452402000756265,-0.6459270070678688,-0.6456420342699324,-0.4296926396391741,-0.5911316518855888,-0.4933247725454831,-0.6197303372939564,-0.6331995619015022,-0.6138385912977979,-0.6187459204359769,-1.0093741482887233,-0.4376123428571979,-0.768603831411485,-0.45675019364196573,-1.1263607936307274,-0.7772238102418059,-0.4398701488434017,0.07432605487299015,0.026198838660558502,-0.48749878484624104,-0.055637151281611785,-1.0762817971335343,-0.36006781857996956,-0.5973196625190372,1.2314476929966198,-0.5162485966431217,1.4697570291700157,-0.7731852283660403,-0.7734394429993233,-0.5110092303284683,-0.33950442488868204,-0.6514214372749414,-0.441848209464284,-0.4287883388411378,0.46407598400411826,-0.3177087248089358,0.224986948012338,-0.5159214774254327,-0.6051619010662218,-0.4112979416727332,-0.880808184378985,-0.3439357169754736,-0.7115345931456764,-0.46729447297945764,-1.2470594580529022,0.7449419327028045,-0.3014809634119706,-0.7372916318551337,-0.3197558833342977,-0.48901887572792213,-0.7157832066237684
-0.8253091150607615,-0.8254338384685197,-0.7595402287244588,-0.8997725869096814,-0.9124506044040839,-0.9348622193895604,-0.8871090009937785,-0.9277389077259647,-0.79140411534788,-0.5993789109851847,-0.892239076296738,-0.5540716808584311,-0.8617020584667664,-0.834286892703414,-0.7088072444607211,-0.8284249020965496,-0.7717815115307405,-0.7771724912891412,-0.6255764150404909,-0.7222273930519757,-0.7128155152916454,-0.7941648301826904,-0.6835419733279752,-0.45415581814187395,-0.6928326777277602,-0.44090373626283896,-0.735615206729039,-0.7098337162984351,0.859965331802323,-0.10476748056668184,0.6009140240982428,-0.5643005296562895,-0.4516751012638372,-0.6076783836913938,-0.5988031490774438,-0.38738404362238055,0.028613399747342606,-0.15571403505059214,-0.3372038965343879,0.3349900070013625,-0.2953966182925771,0.4773172688410312,-0.710669765306363,0.39461610470798897,-0.4136631203137916,1.0926681104980849,-0.3292899491167599,-0.6263037908982187,-0.7340028364532418,0.1866574042380125,-0.11322184194540752,-0.2809967967204821,0.6735919837757119,-0.5993922584771568,0.3947601628761012,-0.06321874604191464,-0.5121528010022521,-0.7056290676896453,0.5810570967849018,-0.6219665909174724,-0.3211640640153481,-0.3380938881880667,-0.7009441680178771,1.5742152570900265,-0.7503895290073485,-1.1914208250985576,-0.9932825743826845,-0.8320290927874702,-0.5729738887737521,-0.4252255615907757
-0.393196789394591,-0.09778578070685001,-0.521092259183301,-0.5244817890672882,-0.5128962365499177,-0.40788475003451957,-0.4579542262057084,-0.5095415192483023,-0.24908088487853813,-0.46856219123406767,-0.24779724455824523,-0.4462844564975381,-0.47311590912008433,-0.3875007247146891,-0.7215696860182821,-0.5763533330287278,-0.6648807660381999,-0.6222375316116713,-0.6094389595641168,-0.3085528561193959,-0.5728703511051759,-0.28106987762024277,-0.4322648970682505,-0.31416871745295755,-0.5590196723944124,-0.3885240138372807,-0.5117871088548755,-0.40908347256548927,-0.6913702011991045,-0.6417556476646205,-0.45066765702096856,-0.11887256204593144,-0.5986139436407507,-0.5199288021106337,-0.6382303298753493,-0.44109300552477143,-1.1260050327203146,-0.6797079279357411,-0.5483148616335918,-0.7656306020592102,-0.41417716524315235,-0.7815449622372804,-0.3913665961209065,0.09242451642681944,-0.118426138897547,-0.5029924430257607,-0.39333090676174304,-0.8030327045797953,-0.5692627122302659,-0.4977066629760468,-0.5313049245777599,-0.29654395046226706,0.09746106723909341,-0.31051764992288133,0.018777953304663593,-0.19042965612894758,-0.6593603570937345,-0.21512359619732455,-0.05182700002369083,-1.1657901686992516,-0.8304192452306778,-0.36996560778565923,0.2600558517934581,-1.0664564344774967,-0.8238267866819461,-0.037924050709217005,0.3902446235965177,-0.8337415882519537,0.5734238983704115,-1.7902400643701717
-0.87275554711398,-0.9073586274135989,-0.8442560645428349,-0.999551509506794,-0.895425329700826,-0.8509582033748319,-0.8655589351853823,-0.8937185610726046,-0.7873095337282648,-0.9463358981172438,-0.7514382913313761,-0.8770863050146435,-0.8299165641551666,-0.7773311326809498,-0.7081671107390222,-0.5686478559595651,-0.709977478357832,-0.6998843799173273,-0.585598979728421,-0.6373608139966264,-0.6057757603441392,-0.6214444196380201,-0.5755104741160209,-0.631189346116305,-0.6311245505158646,-0.7086246418573016,-0.5693704306150787,-0.5972049210096183,0.7982742814427035,0.2864474107677899,0.5352952229980884,-0.0739063026717765,0.6203404292516034,0.26869047669357304,1.3001939214631857,0.5347944212208455,0.19998932866992597,0.6482115954375222,1.668158462644492,0.9342138402342853,1.6038573105686615,0.9470083598162895,-0.6784879624451656,-0.7559858138165158,-0.26102334507179503,-1.182490023123293,-0.8377458039280492,-0.4292416539905853,-0.678061890055753,-0.332492640905565,-0.1512370069895151,-0.3279185391713476,0.2194636352635695,-0.09662584394359189,-0.15953189271820123,-0.7903924211230424,-0.7452752567276281,1.4310246167210787,-0.24976870777579796,-0.6693203338731397,-0.7485026964520847,-0.17324557278013708,0.44455313777536914,0.4795834375947634,-0.8736687667953209,-0.1562274653861938,-0.010957238609195109,-0.7016696904348779,-0.43995029397322527,-0.11845108794525083
-0.7658002027682065,-0.8271564436540746,-0.7878983061393773,-0.8179023767614358,-0.7172061867529506,-0.8219892875318755,-0.7580645360464786,-0.84552159659671,-0.7255572634318891,-0.8713808563780354,-0.7322413383845215,-0.7733597527644827,-0.7335584303981029,-0.6628617279227345,-0.7143001793547783,-0.6794844197698964,-0.5868401693796553,-0.7046288340101476,-0.6235063191224952,-0.5558377203853498,-0.5632117830541892,-0.6547147002913416,-0.5320745267363112,-0.5440102218073706,-0.6308117448741004,-0.460593495257296,-0.7111541551749422,-0.5639878021872965,-0.17584996936923766,-0.3542463333711209,-0.40439806015315044,-0.15542687227839094,-0.45866241800100827,-0.1916745654637384,-0.5012162858554837,0.11301304201970326,0.12982852316819374,-0.7581176288414415,0.38233788169744065,-0.4203335882155054,0.14695614355563966,-0.243937820260684,-0.5351613644315459,-0.6615162400300991,-0.4945519651584543,-1.331852088238184,-0.8689910168166841,-0.7786792521298298,-0.4589819115833939,-0.6392623515881498,-0.589108609573071,-0.5282477416317941,-1.461854674289894,-1.1970740795140677,-1.4465492456709208,-0.6805904193335544,-0.07178860719138103,-0.6987427853645388,-0.5744844173533499,-0.4441424888300749,-0.3585339914265785,0.25094626280437327,-0.6810926502707074,-0.0656787647228454,-0.707531624481837,-0.8926715263125515,-1.0105896900984077,-0.4697549523598189,-0.9740803762641201,0.266328694483249
-0.6273773112850026,-0.544503633444446,-0.8487813144697971,-0.631529540738135,-0.6821650134349667,-0.7820276182262387,-0.8032183804364503,-0.8414619725067071,-0.5929544796841902,-0.7654067189641605,-0.6165606003143217,-0.7174990869114238,-0.7326707201703321,-0.7149221042287092,-0.4521719757556274,-0.4156944624788195,-0.5180804970953463,0.10667926897263605,-0.6691672633071708,-0.8180840789697701,-0.6583441330869523,-0.6120597978340141,-0.7397726922784319,-0.4662534667784635,-0.7751749971189241,-0.2708368658580185,-0.7301824291955606,-0.6053401432419147,-1.8636284838041106,-1.4990270364097544,-1.6788383879683155,-0.9980421946917701,-0.5498060523213991,0.1034271505833683,-0.4596030413375613,0.05517835261178529,-0.6158050754023686,-1.338801216259645,0.4371863175566232,-1.707033551807385,-0.17389135815989792,-1.4722221939928573,-0.7885319612085965,-0.6577988705349245,-1.0386773107932634,-0.45185091710210845,-0.6273983984052136,-0.5252121956629798,-0.22397657236878474,-0.22304299973874853,0.05816980749983418,-0.42870853332284636,-0.3735619623177107,-0.7151098374079952,-0.6661660139975387,-0.6527879124271179,0.2725930049220414,-0.9057414890890824,-0.11396254287348813,-0.9288753994761744,0.028908365273255902,-0.4689321133346113,-0.7838402686013048,0.8281298237643947,0.9511731694383954,-0.5803919843630553,0.6198591097595851,-0.6281258546809161,-0.4207426160942516,-0.04947995556587007
1.0356903500141548,1.1439469075773974,0.7958365404257783,0.7126559274324017,0.9595181728461433,1.1845659159027582,0.7742262589989752,1.2137663572279702,0.694873637332574,1.0367649029980974,0.6831947301819827,0.9515376140465903,0.9307485610290878,1.0824011567000122,2.8107402292076684,2.822044868060182,2.4566929527003465,2.0375819270049456,2.9507533392445393,2.13213180949625,2.9781722270517954,2.5586915492832527,2.7990038110595226,2.24778864829928,2.1293808639330245,2.4777934669910495,2.191211711489489,2.5136807262746075,1.222047750270748,0.011552477324215816,2.1767851685801305,-0.0812838361494282,2.5851310923703745,2.0273653615349163,3.59901350178724,0.9650276177327416,2.7264567296037336,1.8078181367463155,0.9974362302583175,0.701272771962529,1.1482451656052433,1.1397241772962676,1.9447081255240515,2.463767978700147,1.284708069860283,2.127139071338269,0.7181313699348787,1.9036267583257647,1.646954973129423,3.6551760907872533,1.992774003965282,2.144571073867626,1.9957478166540374,1.9360121414009277,2.1507910553399494,3.3142089768792835,-0.41290729222974326,0.718078240776311,-0.6701453044084961,0.07936266229788656,-0.8846684043628417,-0.2899146494286204,-0.18250744130672533,-0.6850593434196107,-0.3199790320982221,-0.35778897997128456,0.5143600976420843,-0.5968810285443922,0.7225390639175835,0.5147104743576169
-0.8139535777768585,-0.8794774751581389,-0.8586466991273836,-0.7987025096827951,-0.7699170907711315,-0.8435298397914264,-0.600861200249885,-0.7702916988056703,-0.7962223190115627,-0.8721851811568462,-0.8629887247669431,-0.9270327466219621,-0.8659894266341248,-0.8066729768697851,-0.20958775340691527,-0.13935516291125818,-0.35038347974028633,-0.4762776942902911,-0.41014713356189414,-0.4679268152933727,-0.38528307217103064,-0.4097710158616326,-0.1047773321547517,-0.3974710665985185,-0.3740010861621527,-0.46712553503094956,-0.5357175229683867,-0.5212918443570924,-1.187673184004217,-0.43474817310452113,-1.1768954605695257,-0.43156324404360763,-0.5341077741925526,-0.05821563091408041,-0.28062962423791626,0.0613597651395142,1.5176347716028806,-1.1064599432350717,-0.4748233700693162,-1.4097244894415462,-0.8632339537351995,-1.0484366587591063,-0.019870281649008757,0.12059664376594516,0.138640809070539,-0.468684804201274,-0.32942090406918384,-0.1522568983331461,-0.6705302252264087,0.35729884723444827,-0.42320146301151373,-0.03492796996330862,0.3066118958848993,-0.3328200865158088,-0.4004370926345422,-0.5006383531392058,-0.551249030731698,0.8740303089920746,0.2046031737717613,0.2767141877536136,-0.8885069948724035,-0.20087615123556515,-0.9956283916212423,0.994787091781439,0.2594951062434322,-1.4826641324094847,-0.017802342233874214,-1.8161203093218055,1.238931160588671,0.8633754051801956
